tests made after warmup on max laptop performance
Threads: 4 time spent: 1.374 seconds. uniq elements: 500
Threads: 4 time spent: 1.329 seconds. uniq elements: 500
Threads: 4 time spent: 1.353 seconds. uniq elements: 500
Threads: 4 time spent: 1.39 seconds. uniq elements: 500
Threads: 4 time spent: 1.487 seconds. uniq elements: 500
Threads: 4 time spent: 1.518 seconds. uniq elements: 500
Threads: 4 time spent: 1.518 seconds. uniq elements: 500
Threads: 3 time spent: 1.297 seconds. uniq elements: 500
Threads: 3 time spent: 1.451 seconds. uniq elements: 500
Threads: 3 time spent: 1.416 seconds. uniq elements: 500
Threads: 3 time spent: 1.47 seconds. uniq elements: 500
Threads: 3 time spent: 1.423 seconds. uniq elements: 500
Threads: 3 time spent: 1.421 seconds. uniq elements: 500
Threads: 3 time spent: 1.526 seconds. uniq elements: 500
Threads: 3 time spent: 1.387 seconds. uniq elements: 500
Threads: 3 time spent: 1.424 seconds. uniq elements: 500
Threads: 3 time spent: 1.511 seconds. uniq elements: 500
Threads: 3 time spent: 1.43 seconds. uniq elements: 500
Threads: 3 time spent: 1.434 seconds. uniq elements: 500
Threads: 3 time spent: 1.497 seconds. uniq elements: 500
Threads: 3 time spent: 1.448 seconds. uniq elements: 500
Threads: 3 time spent: 1.46 seconds. uniq elements: 500
Threads: 3 time spent: 1.538 seconds. uniq elements: 500
Threads: 3 time spent: 1.426 seconds. uniq elements: 500
Threads: 3 time spent: 1.407 seconds. uniq elements: 500
Threads: 3 time spent: 1.551 seconds. uniq elements: 500
Threads: 2 time spent: 1.316 seconds. uniq elements: 500
Threads: 2 time spent: 1.44 seconds. uniq elements: 500
Threads: 2 time spent: 1.464 seconds. uniq elements: 500
Threads: 2 time spent: 1.422 seconds. uniq elements: 500
Threads: 2 time spent: 1.493 seconds. uniq elements: 500
Threads: 5000 time spent: 0.53 seconds. uniq elements: 500
Threads: 1000 time spent: 0.314 seconds. uniq elements: 500
Threads: 1000 time spent: 0.267 seconds. uniq elements: 500
Threads: 1 time spent: 1.376 seconds. uniq elements: 500
Threads: 1 time spent: 1.4 seconds. uniq elements: 500
Threads: 1 time spent: 1.415 seconds. uniq elements: 500
Threads: 1 time spent: 1.436 seconds. uniq elements: 500
Threads: 1 time spent: 1.426 seconds. uniq elements: 500
Threads: 1 time spent: 1.398 seconds. uniq elements: 500
Threads: 1 time spent: 1.49 seconds. uniq elements: 500
Threads: 1 time spent: 1.43 seconds. uniq elements: 500
Threads: 1 time spent: 1.435 seconds. uniq elements: 500
Threads: 1 time spent: 1.63 seconds. uniq elements: 500
session ended
